,,,,,Volleyball Passing- University of Tulsa,,,,,,
,,,,,Average Passing Score on,,,Avg. Passing Score on,,,
,Points Lost,Teams,,attempts,Points Won,Passing Points.,attempts,Points Lost,Passing Points,Teams,
,2.19,usa vs.,,53,2.83,149.99,26,2.04,53.04,TU vs.,10.20.13
,,china,,,,,,,,ecarolina,
,,,,,,,,,,,
,1.47,usa vs.,,44,2.66,117.04,14,2.14,29.96,TU vs. ,10.25.13
,,russia,,,,,,,,la tech,
,,,,,,,,,,,
,1.73,usa vs.,,52,2.69,139.88,39,2.08,81.12,TU vs.,
,,brazil,,,,,,,,Marshall,11.10.13
,,,,,,,,,,,
,1.4,usa vs. ,,,,,,,,,
,,russia,,39,2.38,92.82,32,2.09,66.88,TU vs.,
,2.19,usa vs. ,,,,,,,,Tulane,11.08.13
,,china,,,,,,,,,
,,,,,,,,,,,
,8.98,,,,,,,,,,
,1.80,,,188,2.66,499.73,111,2.08,231,,
