Rank;Name;Position;Points overall;Errors overall;Points per Set;Sets played;Games played;Top-Scorer
19;Andrae, Björn ;Außenangriff;14;14;2,8;5;2;0
35;Andrei, Michael ;Mittelblock;29;38;1,5;19;5;-9
24;Biernat, Mateusz ;Zuspiel;1;3;0,3;4;2;-2
30;Böhme, Marcus ;Mittelblock;10;15;1,4;7;2;-5
27;Böhme, Yann Niclas ;Diagonal;9;13;3;3;2;-4
1;Brand, Tobias ;Außenangriff;97;59;4,2;23;6;38
19;Brehme, Anton ;Mittelblock;51;51;2,7;19;6;0
37;Brown, Andre ;Mittelblock;34;46;1,7;20;6;-12
36;Burggräf, Eric ;Zuspiel;4;14;0,2;23;6;-10
5;Cacic, Vojin ;Außenangriff;56;41;3,3;17;5;15
27;Carle, Timothée ;Außenangriff;39;43;3,3;12;5;-4
21;Cowell, Colton Mark ;Außenangriff;35;36;2,3;15;5;-1
9;Ernastowicz, Marcin ;Außenangriff;53;44;2,3;23;6;9
18;Eshenko, Pearson ;Mittelblock;23;22;1,5;15;5;1
3;Ewert, Jordan ;Außenangriff;97;69;4,4;22;6;28
14;Gevert, Sebastián ;Diagonal;68;62;3,8;18;5;6
21;John, Filip ;Diagonal;9;10;2,3;4;3;-1
4;Kessel, Cody ;Außenangriff;47;28;3,1;15;6;19
7;Ketrzynski, Xander Wolf Wassenaar ;Mittelblock;52;39;3,5;15;5;13
38;Kocian-Falkenbach, Tomas ;Zuspiel;15;32;0,8;18;5;-17
30;Maase, Lukas ;Diagonal;46;51;2,2;21;6;-5
24;Martinez Palacios, Miguel Angel ;Diagonal;6;8;2;3;2;-2
15;Mote, Nehemiah ;Mittelblock;27;24;1,7;16;5;3
10;Nedeljkovic, Aleksandar ;Mittelblock;50;43;2,5;20;6;7
10;Peter, Tim ;Außenangriff;30;23;1,6;19;6;7
10;Pettersson, David ;Mittelblock;19;12;2,7;7;2;7
8;Röhrs, Erik Johannes ;Außenangriff;41;30;3,7;11;3;11
34;Ronkainen, Antti ;Außenangriff;5;12;0,3;15;6;-7
10;Schnitzer, Jordan Ralph ;Mittelblock;46;39;2,6;18;6;7
15;Schott, Ruben ;Außenangriff;47;44;2,9;16;5;3
2;Sotola, Marek ;Diagonal;102;73;5,1;20;6;29
6;Superlak, Michal ;Diagonal;92;78;4,4;21;6;14
27;Tille, Johannes ;Zuspiel;11;15;0,6;18;6;-4
30;Trinidad, Ángel ;Zuspiel;6;11;1,2;5;2;-5
26;Urban, Melf ;Mittelblock;2;5;0,7;3;1;-3
17;van de Kamp, Auke ;Außenangriff;29;27;2,6;11;4;2
30;van der Ent, Luuc ;Mittelblock;28;33;1,6;17;5;-5
21;Vicentin, Luciano ;Außenangriff;30;31;2,5;12;4;-1
40;Vincic, Dejan ;Zuspiel;6;32;0,3;21;6;-26
39;Worsley, Joseph ;Zuspiel;9;34;0,4;22;6;-25
