Datum;"Netzeinspeisung [kWh]";"Netzbezug [kWh]";"Speicherung [kWh]";"PV Ertrag [kWh]"
31.01.2025;6,9;0,75;4,4;11,99;
30.01.2025;8,11;0,88;4,25;14,77;
29.01.2025;7,85;0,94;3,46;11,7;
28.01.2025;2,07;0,76;4,37;6,96;
27.01.2025;0,89;1,12;4,17;5,35;
26.01.2025;8,8;0,87;4,65;16,81;
25.01.2025;7,66;0,92;2,35;12,95;
24.01.2025;7,53;0,73;3,11;11,83;
23.01.2025;2,63;1,1;5,14;8,45;
22.01.2025;0,18;0,66;4,14;5,05;
21.01.2025;13,02;0,79;3,95;18,95;
20.01.2025;9,36;0,68;2,71;13,18;
19.01.2025;16,16;0,65;1,01;17,75;
18.01.2025;9,65;0,68;6,66;16,87;
17.01.2025;0,18;0,57;2,8;3,27;
16.01.2025;4,13;0,88;3,47;9,06;
15.01.2025;0,19;0,71;3,34;4,14;
14.01.2025;14,43;0,7;2,6;18,39;
13.01.2025;6,9;0,75;3,22;10,95;
12.01.2025;0,79;0,72;6,42;8,81;
11.01.2025;0,54;1,04;3,89;6,03;
10.01.2025;5,77;1,44;7,07;13,67;
09.01.2025;0,35;1,38;3,43;4,55;
08.01.2025;0,19;0,77;1,7;2,06;
07.01.2025;0,46;1,01;4,12;5,3;
06.01.2025;2,26;0,97;5,3;9,85;
05.01.2025;0,13;1,21;4,35;5,05;
04.01.2025;7,09;0,7;4,09;13,17;
03.01.2025;2,89;0,92;6,45;10,27;
02.01.2025;0,12;1,18;1,43;1,91;
01.01.2025;13,19;0,62;0,99;14,34;
31.12.2024;14,49;0,68;0,89;15,61;
